User ID,Gender,Age,EstimatedSalary,Purchased
15614187,Male,49,86000,1
15619407,Female,38,112000,0
15646227,Male,46,79000,1
15660541,Male,40,51000,0
15753874,Female,38,80000,0
15617877,Female,47,82000,0
15772073,Male,55,142000,1
15701537,Male,48,144000,1
15736228,Female,37,59000,0
15780572,Female,50,86000,1
15769596,Female,56,102000,1
15586996,Female,42,72000,0
15722061,Female,53,141000,1
15638003,Female,38,50000,0
15775590,Female,59,120000,1
15730688,Male,41,52000,0
15753102,Female,38,92000,1
15810075,Female,44,39000,0
15723373,Male,37,52000,0
15795298,Female,48,132000,1
15584320,Female,37,143000,1
15724161,Female,50,44000,0
15750056,Female,53,90000,1
15609637,Female,46,70000,0
15794493,Male,40,57000,0
15569641,Female,59,95000,1
15815236,Female,46,130000,1
15811177,Female,35,77000,0
15680587,Female,38,142000,1
15672821,Male,55,123000,1
15767681,Female,35,72000,0
15600379,Male,48,90000,1
15801336,Female,42,108000,1
15721592,Male,40,75000,0
15581282,Male,37,74000,0
15746203,Female,47,144000,1
15583137,Male,40,61000,0
15680752,Female,43,133000,0
15688172,Female,59,76000,1
15791373,Male,60,42000,1
15589449,Male,39,106000,1
15692819,Female,57,26000,1
15727467,Male,57,74000,1
15734312,Male,38,71000,0
15764604,Male,49,88000,1
15613014,Female,52,38000,1
15759684,Female,50,36000,1
15609669,Female,59,88000,1
15685536,Male,35,61000,0
15750447,Male,37,70000,1
15663249,Female,52,21000,1
15638646,Male,48,141000,0
15734161,Female,37,93000,1
15631070,Female,37,62000,0
15761950,Female,48,138000,1
15649668,Male,41,79000,0
15713912,Female,37,78000,1
15586757,Male,39,134000,1
15596522,Male,49,89000,1
15625395,Male,55,39000,1
15760570,Male,37,77000,0
15566689,Female,35,57000,0
15725794,Female,36,63000,0
15673539,Male,42,73000,1
15705298,Female,43,112000,1
15675791,Male,45,79000,0
15747043,Male,46,117000,1
15736397,Female,58,38000,1
15678201,Male,48,74000,1
15720745,Female,37,132000,1
15637593,Female,34,75000,1
15598070,Female,40,60000,0
15787550,Male,41,54000,0
15603942,Female,54,134000,0
15733973,Female,47,113000,1
15596761,Male,36,125000,1
15652400,Female,38,57000,0
15717893,Female,42,70000,0
15622585,Female,39,96000,1
15733964,Female,38,50000,0
15753861,Male,49,141000,1
15747097,Female,37,76000,0
15594762,Female,37,75000,1
15667417,Female,55,104000,1
15684861,Male,34,55000,0
15742204,Female,45,32000,1
15623502,Male,37,60000,0
15774872,Male,52,130000,1
15611191,Female,53,82000,1
15674331,Male,42,53000,0
15619465,Male,47,30000,1
15575247,Female,49,131000,1
15695679,Male,42,60000,0
15713463,Female,42,72000,0
15785170,Female,43,74000,0
15796351,Male,36,113000,1
15639576,Female,47,107000,1
15693264,Male,38,51000,0
15589715,Female,48,119000,1
15769902,Male,42,65000,0
15587177,Male,40,65000,0
15814553,Male,57,60000,1
15601550,Female,36,54000,0
15664907,Male,58,144000,1
15612465,Male,35,79000,0
15810800,Female,38,55000,0
15665760,Male,39,122000,1
15588080,Female,53,104000,1
15776844,Male,35,75000,0
15717560,Female,38,65000,0
15629739,Female,47,51000,1
15729908,Male,47,105000,1
15716781,Female,41,63000,0
15646936,Male,53,72000,1
15768151,Female,54,108000,1
15579212,Male,39,77000,0
15721835,Male,38,61000,0
15800515,Female,38,113000,1
15591279,Male,37,75000,0
15587419,Female,42,90000,1
15750335,Female,37,57000,0
15699619,Male,36,99000,1
15606472,Male,60,34000,1
15778368,Male,54,70000,1
15671387,Female,41,72000,0
15573926,Male,40,71000,1
15709183,Male,42,54000,0
15577514,Male,43,129000,1
15778830,Female,53,34000,1
15768072,Female,47,50000,1
15768293,Female,42,79000,0
15654456,Male,42,104000,1
15807525,Female,59,29000,1
15574372,Female,58,47000,1
15671249,Male,46,88000,1
15779744,Male,38,71000,0
15624755,Female,54,26000,1
15611430,Female,60,46000,1
15774744,Female,60,80000,1
15629885,Male,37,70000,0
15708791,Male,59,130000,1
15793890,Female,36,80000,0
15646091,Female,46,32000,1
15596984,Female,45,72000,0
15800215,Female,43,53000,0
15577806,Male,41,87000,1
15749381,Female,56,23000,1
15683758,Male,42,64000,0
15670615,Female,46,33000,1
15715622,Male,47,139000,1
15707634,Male,49,28000,1
15806901,Female,57,33000,1
15775335,Male,56,60000,1
15724150,Female,45,39000,1
15627220,Male,39,71000,0
15672330,Male,46,34000,1
15668521,Female,48,35000,1
15807837,Female,48,31000,1
15592570,Male,47,25000,1
15748589,Female,45,45000,1
15635893,Male,60,44000,1
15757632,Female,37,59000,0
15691863,Female,46,40000,1
15706071,Male,51,26000,1
15654296,Male,50,27000,1
15755018,Male,36,33000,0
15594041,Female,49,36000,1
